,champName,gameVersion,dmgtaken,totaldamagedealttochampions,t2.gameDuration/60,matchid,taken/min,dealt/min
5180,Xayah,8.1.214.5847,196458782,124134028,186494.77949999995,6346,1053.4277824114645,665.6166372742891
5181,Xayah,8.10.229.7328,164002587,105399351,165719.11549999996,5769,989.6419402503994,636.0120296442207
5182,Xayah,8.11.231.7304,36719755,23209638,38519.61530000001,1332,953.2741880732124,602.5407527888783
5183,Xayah,8.11.232.7066,8960369,5561169,9597.316799999997,339,933.6327211789031,579.4503938850911
5184,Xayah,8.11.232.8721,41761602,25758968,43887.0159,1518,951.5707810974681,586.938242934854
5185,Xayah,8.12.233.4186,67431876,42338311,70944.89950000003,2446,950.4823669529615,596.7773765047053
5186,Xayah,8.13.235.3406,7733175,4843673,8131.100899999999,288,951.0612517426763,595.697072213186
5187,Xayah,8.13.235.9749,99741795,63967813,104645.10360000006,3576,953.1434493223622,611.2833835447601
5188,Xayah,8.14.238.1713,41519600,26932782,43468.033000000025,1477,955.1754964389572,619.599741262734
5189,Xayah,8.14.238.9731,20918338,13187305,21583.317499999997,731,969.190116394294,610.995274475298
5190,Xayah,8.14.239.6309,41748985,26901277,44058.51610000001,1503,947.5803702794246,610.5806409580824
5191,Xayah,8.15.239.9021,87271464,57059042,92284.91579999999,3173,945.6742008535268,618.292182480379
5192,Xayah,8.16.241.6543,72895439,48148801,76043.53260000002,2607,958.6014287821234,633.1741747621019
5193,Xayah,8.17.243.3340,70791453,46797974,74290.16880000001,2560,952.9047267422549,629.9349531158958
5194,Xayah,8.18.244.9800,26588588,17405172,27810.816399999996,943,956.0520488711725,625.8418217452977
5195,Xayah,8.18.245.7444,49650947,32526965,52518.20019999998,1801,945.4045799535991,619.3465289391241
5196,Xayah,8.19.246.5109,89114911,59111216,95159.6313,3266,936.4781029789468,621.1795400262338
5197,Xayah,8.2.215.824,50986351,34050051,50365.633999999984,1684,1012.3242169452293,676.0572298166645
5198,Xayah,8.2.216.1199,234154080,158367365,230511.11609999993,7655,1015.8038534611046,687.0270192579231
5199,Xayah,8.20.248.3196,23301375,15747942,24223.633299999998,833,961.927333997415,650.1065222119261
5200,Xayah,8.20.249.1952,158844168,107388411,167826.61789999998,5768,946.4777994551961,639.8771085525165
5201,Xayah,8.21.250.2733,16101813,10654451,17200.400299999998,590,936.1301318086186,619.4304094190181
5202,Xayah,8.21.250.9462,54444262,36939443,57759.58210000001,1986,942.6013835373645,639.5379200640026
5203,Xayah,8.21.251.4430,86639335,57071095,91892.23159999994,3207,942.8363365592708,621.065502559849
5204,Xayah,8.22.252.2691,91057656,60644779,96018.6011,3314,948.333499518147,631.5940693287189
5205,Xayah,8.23.254.717,52613982,32218763,52596.600200000015,1820,1000.3304738316524,612.5636044437715
5206,Xayah,8.24.255.8524,112871738,68037337,114120.0351000001,3968,989.0615429717818,596.1909925840878
5207,Xayah,8.3.217.1022,309505600,210589651,303565.86039999966,10131,1019.566559929281,693.71981000272
5208,Xayah,8.4.218.8787,324620599,220336020,317276.66429999995,10605,1023.1467848926198,694.4602134106591
5209,Xayah,8.5.220.3006,329795388,224024383,329308.9974999995,11169,1001.4770033727989,680.2862499983784
5210,Xayah,8.6.222.2149,202288889,134015674,203926.53300000005,6977,991.9694412693219,657.1762488601714
5211,Xayah,8.7.223.9264,72114741,47790445,72779.25210000003,2488,990.8694980942237,656.649300742127
5212,Xayah,8.7.224.5563,119564728,78267026,120626.24660000003,4163,991.1999367474307,648.8391059661802
5213,Xayah,8.8.225.6906,67205885,43057066,66995.41570000004,2284,1003.1415477880221,642.6867502816311
5214,Xayah,8.8.226.7254,104435139,67998487,104723.86709999997,3581,997.2429579999728,649.3122234979043
5215,Xayah,8.9.227.7511,25078315,15893736,25321.5676,873,990.3934620540634,627.6758315705541
5216,Xayah,8.9.228.4283,134265659,86962307,135235.26589999997,4682,992.8302215139877,643.0445965500188
5217,Xayah,9.1.257.7563,50715831,31842121,51782.851399999985,1810,979.3943289882259,614.9163311620961
5218,Xayah,9.2.260.6714,8016955,5160231,8355.283300000001,292,959.507261710683,617.6009615377135
5219,Xerath,8.1.213.4336,18959760,21230269,26640.932700000005,889,711.6777859658043,796.9041189012123
5220,Xerath,8.1.214.5847,74544016,84498207,104279.01640000001,3460,714.8515451474856,810.3088225906971
5221,Xerath,8.10.229.7328,56763594,61486921,77370.68359999995,2619,733.6576511778428,794.7056706630939
5222,Xerath,8.11.231.7304,16125875,18109763,22497.382999999998,768,716.7889260719792,804.9719827412816
5223,Xerath,8.11.232.7066,4051740,4525397,5805.8004999999985,199,697.8779239830926,779.4613335404827
5224,Xerath,8.11.232.8721,24278792,26544584,33464.783,1138,725.5027471715564,793.2095062442208
5225,Xerath,8.12.233.4186,52845111,57201458,72642.86620000002,2470,727.4645641666599,787.4339352540578
5226,Xerath,8.13.235.3406,4623440,5078372,6531.4003,231,707.878829597996,777.5318869982598
5227,Xerath,8.13.235.9749,58729371,63834057,80895.1685,2670,725.9935554742061,789.0960385353545
5228,Xerath,8.14.238.1713,17619498,19156230,24323.249799999998,797,724.3891398097635,787.5686907594068
5229,Xerath,8.14.238.9731,8256634,9176137,11542.967399999996,376,715.2956180054708,794.9547704691606
5230,Xerath,8.14.239.6309,18531248,19655020,25322.7498,846,731.802357420125,776.1803183001871
5231,Xerath,8.15.239.9021,40782233,43873512,56003.333299999984,1856,728.2108152658836,783.4089404103382
5232,Xerath,8.16.241.6543,40857354,44502703,56582.78230000001,1897,722.0810348875331,786.5060923312
5233,Xerath,8.17.243.3340,42146351,47132202,58723.36849999997,1972,717.7100373593184,802.6140734757072
5234,Xerath,8.18.244.9800,14147864,15902463,20000.182600000007,684,707.3867415590493,795.1158905919186
5235,Xerath,8.18.245.7444,26509379,29600819,36693.58359999998,1226,722.4527124137314,806.7028645302448
5236,Xerath,8.19.246.5109,48698650,54097394,67560.96770000001,2250,720.810427349755,800.719643925408
