,matchid,accountid,win,kills,deaths,assists,totalminionskilled,wardsplaced,totaldamagedealt,magicdamagedealt,physicaldamagedealt,truedamagedealt,damageselfmitigated,damagedealttoobjectives,damagedealttoturrets,totaldamagedealttochampions,magicdamagedealttochampions,physicaldamagedealttochampions,truedamagedealttochampions,totaldamagetaken,physicaldamagetaken,truedamagetaken,totalheal,t2.gameDuration/60,matchRankScore,champName
97,2695191136,239492669,1,3,2,22,19,10,37191,28967,6691,1532,5725,4725,2917,14860,12968,1703,188,14380,5423,318,5806,34.2167,,Morgana
98,2695191136,241068481,0,9,6,5,182,7,144554,1631,129463,13460,47111,12838,5283,22358,1631,17021,3706,39995,26590,768,10975,34.2167,,Darius
99,2695191136,242233029,0,0,13,6,110,3,62057,1194,60797,66,7705,107,107,6914,1094,5754,66,19016,11290,30,1512,34.2167,,Ashe
100,2695191140,31812913,0,2,7,9,34,14,104233,78307,20746,5179,36141,0,0,14091,11211,1347,1532,25222,18557,804,4545,29.1667,,Rammus
101,2695191140,33353462,1,0,1,19,36,17,13769,6450,6898,420,13986,4628,2300,4517,3501,1016,0,9485,4211,1006,3342,29.1667,,Rakan
102,2695191140,201761639,1,13,2,8,188,5,144699,4959,134083,5656,9061,19224,13556,24177,1554,22365,258,10154,5369,205,4451,29.1667,,Miss Fortune
103,2695191140,209622961,1,6,1,4,149,27,230766,25551,187486,17728,13603,39013,10837,12402,1470,9522,1409,23841,19202,456,14779,29.1667,,Tryndamere
104,2695191140,210227676,1,6,9,13,109,12,89544,0,87366,2178,21364,7319,1221,12351,0,12203,148,21201,14722,755,799,29.1667,,Riven
105,2695191140,216333898,1,7,3,9,138,11,110743,90531,15775,4436,9382,3704,2602,17744,16405,1338,0,10830,8579,679,1991,29.1667,,Lux
106,2695191140,220469859,0,6,6,2,184,9,124818,9330,114073,1414,19051,2445,629,11492,1012,10058,422,18716,13054,212,2773,29.1667,,Yasuo
107,2695191140,230959479,0,1,7,3,173,13,99516,134,90608,8773,5943,1823,770,8085,34,6970,1081,15273,10679,206,3860,29.1667,,Twitch
108,2695191140,230999714,0,6,6,2,195,12,137524,613,128563,8348,22519,8898,8898,6975,0,6932,43,23137,19051,397,3159,29.1667,,Udyr
109,2695191140,235626504,0,0,6,6,38,17,15283,9095,3321,2867,9303,491,360,6884,6672,184,27,13244,8933,196,313,29.1667,,Nunu
110,2695191146,34157195,0,0,0,9,35,19,15332,13179,1669,483,4942,496,0,4872,3848,540,483,8190,6004,168,2198,24.7,,Janna
111,2695191146,35443816,0,5,7,4,52,9,87790,11226,65725,10839,10872,3579,24,10485,2255,7618,612,22478,14535,543,8312,24.7,,Kindred
